belongs_to_collection,budget,id,original_title,popularity,revenue,runtime,vote_average,vote_count,revenue_mil,budget_mil,drama,comedy,thriller,action,romance,adventure,family,release_2010s,release_2000s,release_1990s,release_1980s_below,overview_vader,tagline_vader
0,30000000,862,Toy Story,21.946943,373554033.0,81.0,7.7,5415.0,373.554033,30.0,0,1,0,0,0,0,1,0,0,1,0,0.128,0.0
1,65000000,8844,Jumanji,17.015539,262797249.0,104.0,6.9,2413.0,262.797249,65.0,0,0,0,0,0,1,1,0,0,1,0,-0.4588,0.5411
1,16000000,31357,Waiting to Exhale,3.859495,81452156.0,127.0,6.1,34.0,81.452156,16.0,1,1,0,0,1,0,0,0,0,1,0,0.886,0.5812
1,60000000,949,Heat,17.924927,187436818.0,170.0,7.7,1886.0,187.436818,60.0,1,0,1,1,0,0,0,0,0,1,0,-0.875,-0.5423
1,35000000,9091,Sudden Death,5.23158,64350171.0,106.0,5.5,174.0,64.350171,35.0,0,0,1,1,0,1,0,0,0,1,0,0.5106,-0.5267
0,58000000,710,GoldenEye,14.686035999999998,352194034.0,130.0,6.6,1194.0,352.194034,58.0,0,0,1,1,0,1,0,0,0,1,0,-0.8885,-0.8126
1,62000000,9087,The American President,6.318445,107879496.0,106.0,6.5,199.0,107.879496,62.0,1,1,0,0,1,0,0,0,0,1,0,0.7577,-0.3713
1,44000000,10858,Nixon,5.092,13681765.0,192.0,7.1,72.0,13.681765,44.0,1,0,0,0,0,0,0,0,0,1,0,-0.8658,-0.5647
1,98000000,1408,Cutthroat Island,7.284477000000001,10017322.0,119.0,5.7,137.0,10.017322,98.0,0,0,0,1,0,1,0,0,0,1,0,-0.8173,0.1759
1,52000000,524,Casino,10.137389,116112375.0,178.0,7.8,1343.0,116.112375,52.0,1,0,0,0,0,0,0,0,0,1,0,0.6369,-0.1027
1,16500000,4584,Sense and Sensibility,10.673167,135000000.0,136.0,7.2,364.0,135.0,16.5,1,0,0,0,1,0,0,0,0,1,0,0.128,-0.4019
1,4000000,5,Four Rooms,9.026586,4300000.0,98.0,6.5,539.0,4.3,4.0,0,1,0,0,0,0,0,0,0,1,0,-0.296,-0.8176
0,30000000,9273,Ace Ventura: When Nature Calls,8.205447999999999,212385533.0,90.0,6.1,1128.0,212.385533,30.0,0,1,0,0,0,1,0,0,0,1,0,-0.6597,0.34
1,60000000,11517,Money Train,7.337905999999999,35431113.0,103.0,5.4,224.0,35.431113,60.0,0,1,0,1,0,0,0,0,0,1,0,-0.1531,0.0
0,30250000,8012,Get Shorty,12.669608,115101622.0,105.0,6.4,305.0,115.101622,30.25,0,1,1,0,0,0,0,0,0,1,0,-0.7906,-0.4432
1,50000000,9691,Assassins,11.065939,30303072.0,132.0,6.0,394.0,30.303072,50.0,0,0,1,1,0,1,0,0,0,1,0,-0.9625,-0.5994
1,3600000,451,Leaving Las Vegas,10.332025,49800000.0,112.0,7.1,365.0,49.8,3.6,1,0,0,0,1,0,0,0,0,1,0,-0.7096,0.6369
1,12000000,9263,Now and Then,8.681325,27400000.0,100.0,6.6,91.0,27.4,12.0,1,1,0,0,0,0,1,0,0,1,0,-0.0772,0.0
1,18000000,902,La Cité des Enfants Perdus,9.822422999999999,1738611.0,108.0,7.6,308.0,1.738611,18.0,0,0,0,0,0,1,0,0,0,1,0,0.3182,0.6808
1,29500000,63,Twelve Monkeys,12.297305,168840000.0,129.0,7.4,2470.0,168.84,29.5,0,0,1,0,0,0,0,0,0,1,0,-0.9209,0.0
0,30000000,9598,Babe,14.404764000000002,254134910.0,89.0,6.0,756.0,254.13491,30.0,1,1,0,0,0,0,1,0,0,1,0,0.8807,0.0
1,11000000,687,Dead Man Walking,6.891317,39363635.0,122.0,7.3,350.0,39.363635,11.0,1,0,0,0,0,0,0,0,0,1,0,0.9538,0.0
0,18000000,9312,Mortal Kombat,10.870138,122195920.0,101.0,5.4,452.0,122.19592,18.0,0,0,0,1,0,0,0,0,0,1,0,-0.8228,0.2263
1,20000000,577,To Die For,10.448481,21284514.0,106.0,6.7,177.0,21.284514,20.0,1,1,1,0,0,0,0,0,0,1,0,0.2911,0.0
1,10000000,11861,How To Make An American Quilt,4.485958,23574130.0,116.0,6.5,38.0,23.57413,10.0,1,0,0,0,1,0,0,0,0,1,0,0.946,0.5859
1,33000000,807,Se7en,18.45743,327311859.0,127.0,8.1,5915.0,327.311859,33.0,0,0,1,0,0,0,0,0,0,1,0,-0.9638,-0.7845
0,55000000,10530,Pocahontas,13.280069000000001,346079773.0,81.0,6.7,1509.0,346.079773,55.0,1,0,0,0,0,1,1,0,0,1,0,0.8689,0.0
1,6000000,629,The Usual Suspects,16.302466,23341568.0,106.0,8.1,3334.0,23.341568,6.0,1,0,1,0,0,0,0,0,0,1,0,-0.5499,-0.7096
1,15000000,11448,Mighty Aphrodite,15.899134,6700000.0,95.0,6.7,145.0,6.7,15.0,0,1,0,0,1,0,0,0,0,1,0,0.5023,0.0
0,3500000,10634,Friday,14.56965,28215918.0,91.0,7.0,513.0,28.215918,3.5,0,1,0,0,0,0,0,0,0,1,0,0.0,0.0
0,19000000,755,From Dusk Till Dawn,15.339153,25836616.0,108.0,6.9,1644.0,25.836616,19.0,0,0,1,1,0,0,0,0,0,1,0,-0.802,-0.7003
1,50000000,11859,Fair Game,5.912223,11534477.0,91.0,4.1,54.0,11.534477,50.0,0,0,1,1,1,0,0,0,0,1,0,0.3182,-0.4767
1,15000000,36929,Big Bully,2.936443,2042530.0,90.0,3.9,16.0,2.04253,15.0,0,1,0,0,0,0,1,0,0,1,0,-0.9217,0.3612
0,20000000,9102,Screamers,12.758848,5781885.0,108.0,6.1,154.0,5.781885,20.0,0,0,0,0,0,0,0,0,0,1,0,-0.936,-0.4019
1,8000000,400,Things to Do in Denver When You're Dead,4.486179,529766.0,116.0,6.7,87.0,0.529766,8.0,1,0,0,0,0,0,0,0,0,1,0,0.6249,0.875
1,38000000,10534,White Squall,9.568603999999999,10300000.0,129.0,6.3,86.0,10.3,38.0,1,0,0,1,0,0,0,0,0,1,0,0.0,0.0
1,8169363,2086,Nick of Time,6.848591000000001,8175346.0,90.0,6.1,190.0,8.175346,8.169363,1,0,1,0,0,0,0,0,0,1,0,-0.5994,0.0
1,47000000,9095,Mary Reilly,12.866139,12379402.0,104.0,5.7,77.0,12.379402,47.0,1,0,1,0,1,0,0,0,0,1,0,0.6369,0.0
1,14000000,12158,Vampire in Brooklyn,9.071127,19800000.0,100.0,4.5,113.0,19.8,14.0,0,1,0,0,1,0,0,0,0,1,0,0.1027,-0.5719
1,50000000,9208,Broken Arrow,14.957626000000001,150270147.0,108.0,5.7,459.0,150.270147,50.0,1,0,1,1,0,1,0,0,0,1,0,-0.0772,0.0
1,7000000,13685,Bottle Rocket,6.904831,560069.0,91.0,6.8,285.0,0.560069,7.0,1,1,0,0,0,0,0,0,0,1,0,-0.34,0.5585
1,12000000,9614,Happy Gilmore,9.592265,41205099.0,92.0,6.5,767.0,41.205099,12.0,0,1,0,0,0,0,0,0,0,1,0,0.9457,-0.6844
1,24000000,688,The Bridges of Madison County,5.951077,182016617.0,135.0,7.3,397.0,182.016617,24.0,1,0,0,0,1,0,0,0,0,1,0,0.0,0.0
1,72000000,197,Braveheart,20.755149,210000000.0,177.0,7.7,3404.0,210.0,72.0,1,0,0,1,0,0,0,0,0,1,0,0.3612,-0.3412
1,1300000,103,Taxi Driver,14.092713,28262574.0,114.0,8.1,2632.0,28.262574,1.3,1,0,0,0,0,0,0,0,0,0,1,-0.7964,0.4019
1,7500000,33542,紅番區,12.314278,32392047.0,91.0,6.5,245.0,32.392047,7.5,0,1,1,1,0,0,0,0,0,1,0,-0.6369,-0.8316
1,25000000,78406,Steal Big Steal Little,1.522412,6278139.0,113.0,5.1,7.0,6.278139,25.0,1,1,0,0,0,0,0,0,0,1,0,-0.829,0.4939
1,40000000,11066,Boomerang,6.506983,70100000.0,117.0,5.4,139.0,70.1,40.0,0,1,0,0,1,0,0,0,0,1,0,-0.4576,0.34
1,7000000,2074,Flirting with Disaster,5.579088,14702438.0,92.0,6.3,66.0,14.702438,7.0,0,1,0,0,1,0,0,0,0,1,0,-0.5106,0.6597
1,50000000,11863,Jade,11.418917,9851610.0,95.0,5.1,45.0,9.85161,50.0,0,0,1,1,1,0,0,0,0,1,0,0.0258,0.0
1,31000000,11000,The Birdcage,6.499680000000001,185260553.0,117.0,6.7,303.0,185.260553,31.0,0,1,0,0,0,0,0,0,0,1,0,0.3612,0.0
0,19000000,9737,Bad Boys,9.262184,141407024.0,118.0,6.5,1729.0,141.407024,19.0,0,1,1,1,0,0,0,0,0,1,0,-0.7096,0.0
1,4000000,22279,An Awfully Big Adventure,0.922958,851545.0,113.0,6.0,11.0,0.851545,4.0,1,1,0,0,1,0,0,0,0,1,0,0.5965,0.0
1,52000000,568,Apollo 13,18.761467,355237933.0,140.0,7.3,1637.0,355.237933,52.0,1,0,0,0,0,0,0,0,0,1,0,-0.7845,-0.4019
1,28000000,11780,Rob Roy,10.193549,31596911.0,139.0,6.5,151.0,31.596911,28.0,0,0,0,0,0,1,0,0,0,1,0,-0.7783,0.875
0,100000000,414,Batman Forever,13.321354000000001,336529144.0,121.0,5.2,1529.0,336.529144,100.0,0,0,0,1,0,0,0,0,0,1,0,-0.9153,0.6705
0,2000000,5894,Blue in the Face,11.528147,1275000.0,83.0,6.8,28.0,1.275,2.0,0,1,0,0,0,0,0,0,0,1,0,-0.2732,0.4588
1,11000000,1775,Canadian Bacon,5.391556,178104.0,91.0,5.9,57.0,0.178104,11.0,0,1,0,1,0,0,0,0,0,1,0,-0.2558,-0.4199
0,50000000,8839,Casper,12.812539,287928194.0,100.0,6.0,1045.0,287.928194,50.0,0,1,0,0,0,0,1,0,0,1,0,-0.8275,0.0
1,25000000,20649,Clockers,4.558992,13071518.0,128.0,6.8,69.0,13.071518,25.0,1,0,0,0,0,0,0,0,0,1,0,-0.6124,-0.7845
1,50000000,10329,Congo,7.260574,152022101.0,109.0,5.0,214.0,152.022101,50.0,1,0,1,1,0,1,0,0,0,1,0,-0.7906,0.0
1,53000000,8963,Crimson Tide,8.657364999999999,157387195.0,116.0,7.0,508.0,157.387195,53.0,1,0,1,1,0,0,0,0,0,1,0,0.5859,-0.5267
0,7000000,8068,Desperado,6.950458,25405445.0,104.0,6.8,898.0,25.405445,7.0,0,0,1,1,0,0,0,0,0,1,0,-0.5994,0.0772
1,27000000,8512,Devil in a Blue Dress,4.646132,16140822.0,102.0,6.3,88.0,16.140822,27.0,1,0,1,0,0,0,0,0,0,1,0,0.0258,-0.5563
0,90000000,1572,Die Hard: With a Vengeance,15.138855,366101666.0,128.0,6.9,2094.0,366.101666,90.0,0,0,1,1,0,0,0,0,0,1,0,0.6705,-0.4019
1,55000000,6520,First Knight,15.178338,127600435.0,134.0,5.9,319.0,127.600435,55.0,1,0,0,1,1,1,0,0,0,1,0,0.9803,0.7783
1,20000000,10428,Hackers,14.810519000000001,7563728.0,107.0,6.2,406.0,7.563728,20.0,1,0,1,1,0,0,0,0,0,1,0,-0.8442,-0.5106
1,25000000,9886,Johnny Mnemonic,11.715867999999999,19075720.0,97.0,5.5,380.0,19.07572,25.0,1,0,1,1,0,1,0,0,0,1,0,-0.7554,0.0
1,90000000,9482,Judge Dredd,8.184814999999999,113493481.0,96.0,5.4,643.0,113.493481,90.0,0,0,0,0,0,0,0,0,0,1,0,-0.8437,0.0
1,1500000,9344,Kids,4.877872,7412216.0,91.0,6.8,280.0,7.412216,1.5,1,0,0,0,0,0,0,0,0,1,0,-0.8173,0.0
1,500000,9071,Living in Oblivion,10.058328999999999,1148752.0,89.0,7.2,64.0,1.148752,0.5,1,1,0,0,0,0,0,0,0,1,0,0.0,0.5479
1,6000000,2293,Mallrats,8.255469999999999,2122561.0,94.0,6.8,400.0,2.122561,6.0,0,1,0,0,1,0,0,0,0,1,0,0.6808,0.0
0,15000000,9070,Mighty Morphin Power Rangers: The Movie,7.024227000000001,66000000.0,92.0,5.2,153.0,66.0,15.0,0,0,0,1,0,1,1,0,0,1,0,-0.8883,0.0
1,2,48787,Mute Witness,2.466066,1.0,95.0,6.4,36.0,1e-06,2e-06,0,0,1,0,0,0,0,0,0,1,0,-0.8271,0.0382
0,22000000,1642,The Net,13.304342000000002,110627965.0,114.0,5.6,359.0,110.627965,22.0,1,0,1,1,0,0,0,0,0,1,0,-0.9524,-0.8126
1,150000,36196,Party Girl,1.165039,472370.0,94.0,5.8,14.0,0.47237,0.15,0,1,0,0,0,0,0,0,0,1,0,-0.8176,0.4574
0,8,11980,The Prophecy,10.187623,16.0,98.0,6.4,139.0,1.6e-05,8e-06,0,0,1,0,0,0,0,0,0,1,0,-0.3687,-0.2732
1,50000000,10533,The Scarlet Letter,6.752119,10382407.0,135.0,5.5,111.0,10.382407,50.0,1,0,0,0,1,0,0,0,0,1,0,-0.4588,-0.6335
0,45000000,10802,Showgirls,17.502375,20350754.0,128.0,4.9,261.0,20.350754,45.0,1,0,0,0,0,0,0,0,0,1,0,0.2023,0.4019
0,7000000,10149,Smoke,5.5529459999999995,8349430.0,112.0,7.2,115.0,8.34943,7.0,1,1,0,0,0,0,0,0,0,1,0,-0.8402,0.5411
0,35000000,9348,Species,13.492845,113374103.0,108.0,5.5,457.0,113.374103,35.0,0,0,0,1,0,0,0,0,0,1,0,0.0772,0.0
1,42000000,281,Strange Days,11.223055,7959291.0,145.0,6.8,334.0,7.959291,42.0,1,0,1,0,0,0,0,0,0,1,0,-0.9618,0.0772
1,14000000,79593,The Tie That Binds,1.8204189999999998,5780000.0,99.0,4.6,9.0,5.78,14.0,0,0,1,0,0,0,0,0,0,1,0,-0.6597,0.0
0,60000000,3512,Under Siege 2: Dark Territory,7.490247,104324083.0,100.0,5.6,217.0,104.324083,60.0,0,0,1,1,0,0,0,0,0,1,0,-0.6249,0.0
1,20000000,9560,A Walk in the Clouds,9.715639,50012507.0,103.0,6.5,168.0,50.012507,20.0,1,0,0,0,1,0,0,0,0,1,0,-0.5994,0.0
1,175000000,9804,Waterworld,16.885184,264218220.0,135.0,5.9,1017.0,264.21822,175.0,0,0,0,1,0,1,0,0,0,1,0,0.3291,-0.4215
0,2800000,50797,Утомлённые солнцем,2.4860729999999998,2616503.0,135.0,6.7,35.0,2.616503,2.8,1,0,0,0,0,0,0,0,0,1,0,0.0325,0.0
0,2500000,76,Before Sunrise,11.304979,5535405.0,105.0,7.7,984.0,5.535405,2.5,1,0,0,0,1,0,0,0,0,1,0,0.5994,0.8316
1,10000000,11017,Billy Madison,6.638116,26488734.0,89.0,6.2,464.0,26.488734,10.0,0,1,0,0,0,0,0,0,0,1,0,0.3499,0.0
1,21000000,9382,Boys on the Side,3.030309,23450000.0,115.0,6.3,48.0,23.45,21.0,1,1,0,0,0,0,0,0,0,1,0,0.0516,0.9477
